id,value
protect.HumanSubject.Med_Rec_V1.URINECULTURE,5817
protect.HumanSubject.Med_Rec_V1.URINALYSIS,19113
protect.HumanSubject.Med_Rec_V1.PAPSMEAR,7479
protect.HumanSubject.Med_Rec_V1.GENERALCATEGORIZATION-BETHESDA,831
protect.HumanSubject.Med_Rec_V1.NIC,831
protect.HumanSubject.inhome_visit
protect.HumanSubject.inhome_visit.MEDICALHISTORY
protect.HumanSubject.inhome_visit.MEDICALHISTORY.RESPIRATORYDISEASES,11634
protect.HumanSubject.inhome_visit.MEDICALHISTORY.CARDIOVASCULARDISEASES,19944
protect.HumanSubject.inhome_visit.MEDICALHISTORY.LIVERDISEASES,6648
protect.HumanSubject.inhome_visit.MEDICALHISTORY.INFECTIONS,33240
protect.HumanSubject.inhome_visit.MEDICALHISTORY.NERVOUSSYSTEM,9972
protect.HumanSubject.inhome_visit.MEDICALHISTORY.ENDOCRINESYSTEM,11634
protect.HumanSubject.inhome_visit.MEDICALHISTORY.AUTOIMMUNEDISORDERS,13296
protect.HumanSubject.inhome_visit.MEDICALHISTORY.DICO:SEVEREALLERGICREACTIONS,15789
protect.HumanSubject.inhome_visit.GYNAECOLOGY-OBSTETRICSHISTORY,6648
protect.HumanSubject.inhome_visit.HOUSEHOLDCHARACTERISTICS,75621
protect.HumanSubject.inhome_visit.EXHIBITIONSATWORKANDDURINGHOBBIES,111354
protect.HumanSubject.inhome_visit.TRANSPORTATION,4986
protect.HumanSubject.inhome_visit.INSURANCE,2493
protect.HumanSubject.inhome_visit.CAFFEINE,8310
protect.HumanSubject.inhome_visit.SUPPLEMENTS,39888
protect.HumanSubject.inhome_visit.COLLECTEDSAMPLES,6648
protect.HumanSubject.inhome_visit.MEDICATION,147918
protect.HumanSubject.inhome_visit.LIFEEXPERIENCESURVEY,64818
protect.HumanSubject.inhome_visit.USEOFPRODUCTS,23268
protect.HumanSubject.inhome_visit.USEOFPESTICIDES,78114
protect.HumanSubject.food_frequency
protect.HumanSubject.food_frequency.SUMMARYQUESTION,8310
protect.HumanSubject.food_frequency.CEREALS,9141
protect.HumanSubject.food_frequency.BREADS,9972
protect.HumanSubject.food_frequency.VEGETABLES,24930
protect.HumanSubject.food_frequency.BEANS,17451
protect.HumanSubject.food_frequency.RICE,22437
protect.HumanSubject.food_frequency.BEEF_PORK_HAM,14958
protect.HumanSubject.food_frequency.BIRDS,12465
protect.HumanSubject.food_frequency.FISH,12465
protect.HumanSubject.food_frequency.EMBOTITS,12465
protect.HumanSubject.food_frequency.SPICE/SEASONING,23268
protect.HumanSubject.food_frequency.SOUPS,7479
protect.HumanSubject.food_frequency.DAIRYANDEGGPRODUCTS,17451
protect.HumanSubject.food_frequency.PASTRIESANDSWEETS,21606
protect.HumanSubject.food_frequency.APPETIZERSANDWALNUTS,13296
protect.HumanSubject.food_frequency.DRINKS,18282
protect.HumanSubject.food_frequency.COFFEE,9972
protect.HumanSubject.food_frequency.ALCOHOLICDRINKS,8310
protect.HumanSubject.food_frequency.SUMMARY,1662
protect.HumanSubject.food_frequency.DIETARYNUTRIENTS/MULTI-VITAMINS,6648
protect.HumanSubject.food_frequency.INDIVIDUALVITAMINSANDMINERALS,21606
protect.HumanSubject.food_frequency.ANTACID,9141
protect.HumanSubject.third_visit
protect.HumanSubject.third_visit.INITIATION,7479
protect.HumanSubject.third_visit.DEMOGRAPHIC,2493
protect.HumanSubject.third_visit.TOBACCOISM,2493
protect.HumanSubject.third_visit.USEOFDRUGS,4986
protect.HumanSubject.third_visit.PERSONALMEDICALHISTORY,36564
protect.HumanSubject.third_visit.PHYSICALACTIVITY,5817
protect.HumanSubject.third_visit.PERCEIVEDSTRESS,8310
protect.HumanSubject.third_visit.FEELINGSANDBEHAVIORS,16620
protect.HumanSubject.third_visit.SOCIALSUPPORT,4986
protect.HumanSubject.third_visit.PHYSICALEXAMINATIONRESULTS,14127
protect.HumanSubject.Med_Rec_V3
protect.HumanSubject.Med_Rec_V3.General,1662
protect.HumanSubject.Med_Rec_V3.SECONDSONOGRAM,14958
protect.HumanSubject.Med_Rec_V3.PRENATALVISIT-VitalSigns,14127
protect.HumanSubject.Med_Rec_V3.FETALMEASURES,4155
protect.HumanSubject.Med_Rec_V3.PHYSICALEXAM,9972
protect.HumanSubject.Med_Rec_V3.PRESCRIBEDMEDICATION,17451
protect.HumanSubject.Med_Rec_V3.PRENATALLABORATORYTESTS,20775
protect.HumanSubject.Med_Rec_V3.CBC,8310
protect.HumanSubject.Med_Rec_V3.WBCDIFERENCIAL,6648
protect.HumanSubject.Med_Rec_V3.URINECULTURE,5817
protect.HumanSubject.Med_Rec_V3.URINALYSIS,19113
protect.HumanSubject.product_use
protect.HumanSubject.product_use.General,4155
protect.HumanSubject.product_use.PRODUCTUSE48HOURS,81438
protect.HumanSubject.product_use.PRODUCTUSE24HOURS,13296
protect.HumanSubject.product_use.CONSUMEDIN48HOURS,14958
protect.HumanSubject.status_participante
protect.HumanSubject.status_participante.General,4155
protect.HumanSubject.birth
protect.HumanSubject.birth.PRENATALLABORATORIES,54846
protect.HumanSubject.birth.MEMBRANES,20775
protect.HumanSubject.birth.LABOR,93903
protect.HumanSubject.birth.BIRTH,12465
protect.HumanSubject.birth.NEWBORNINFORMATION,23268
protect.HumanSubject.postpartum_data_abstraction
protect.HumanSubject.postpartum_data_abstraction.General,531840
protect.HumanSubject.gestational_age_medical_record
protect.HumanSubject.gestational_age_medical_record.LastMenstrualPeriod(LMP),29085
protect.HumanSubject.gestational_age_medical_record.CurrentScan,29085
protect.HumanSubject.gestational_age_medical_record.DateofExam:,9141
protect.HumanSubject.gestational_age_medical_record.Biometry,11634
protect.HumanSubject.gestational_age_medical_record.MaternalStructures,18282
protect.HumanSubject.gestational_age_medical_record.CuldeSac/PouchofDouglas,831
protect.HumanSubject.first_trimester_scan
protect.HumanSubject.first_trimester_scan.LMP:,6648
protect.HumanSubject.first_trimester_scan.Biometry,42381
protect.HumanSubject.first_trimester_scan.MaternalStructures,19113
protect.HumanSubject.first_trimester_scan.CuldeSac/PouchofDouglas,831
protect.HumanSubject.anatomy_scan
protect.HumanSubject.anatomy_scan.LMP:,6648
protect.HumanSubject.anatomy_scan.Biometry,63987
protect.HumanSubject.anatomy_scan.MaternalStructures,4155
protect.HumanSubject.edd_confirmation
protect.HumanSubject.edd_confirmation.ACOGANTEPARTUMRECORD(FORMC),4155
protect.HumanSubject.edd_confirmation.InitialEDD,4155
protect.HumanSubject.edd_confirmation.FisrtUltrasoundData,5817
protect.HumanSubject.edd_confirmation.ULTRASOUNDSUMMARYREPORT,197778
protect.HumanSubject.edd_confirmation.CurrentScan(Ultrasound),172017
